vmax,load_scale,pv_scale,status,objective,maxgap,maxratio,n_at_vmax,min_branch_P,vpeak,exact,class,fail_reason
1.05,0.1,0.3,SOLVED,-958.4661253330722,9.132308324702812e-9,0.008301142019547209,0,-0.38965211596476557,1.0259068588930278,true,exact,
1.05,0.1,0.5,SOLVED,-945.6915797949346,1.7586455727130502e-8,0.017240658631637793,1,-0.7230004713718329,1.0499999979408408,true,exact,
1.05,0.1,0.7,SOLVED,-934.1525699811222,2.456292312897343,9377.579320276083,2,-0.8417625122175723,1.0499999999938152,false,inexact,
1.05,0.1,0.9,SOLVED,-924.2170101707677,6.545275583040663,9611.804681628517,5,-1.0287722370765415,1.049999999995064,false,inexact,
1.05,0.1,1.0,SOLVED,-919.7403807569824,8.484760854834425,9612.433776226753,6,-1.117365196003612,1.0499999998384961,false,inexact,
1.05,0.1,1.1,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,guard,"Battery complementarity violated at bus 3, t=14: p_ch·p_dch = 2.3344341758443586e-5 ≥ τ·Pmax² = 1.0000000000000003e-5 (relative τ=0.001, Pmax≈0.1; App. C, threa"
1.05,0.1,1.2,SOLVED,-911.4548415281124,11.494613632588834,9859.366961809781,7,-1.2707346793364038,1.0499999999669642,false,inexact,
1.05,0.1,1.4,SOLVED,-903.783209000655,11.437944247247275,9876.535529124814,8,-1.355515870507569,1.0499999998874017,false,inexact,
1.05,0.1,1.6,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,guard,"Battery complementarity violated at bus 2, t=9: p_ch·p_dch = 1.0070210786126072e-5 ≥ τ·Pmax² = 1.0000000000000003e-5 (relative τ=0.001, Pmax≈0.1; App. C, threat"
1.05,0.1,2.0,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,guard,"Battery complementarity violated at bus 2, t=8: p_ch·p_dch = 2.604637452676464e-5 ≥ τ·Pmax² = 1.0000000000000003e-5 (relative τ=0.001, Pmax≈0.1; App. C, threat "
